|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
448.0|41797.0|AK_72|AC_138|615.0|1.0|327.0|2.0|4.0|7.0|0.0|0.0|0.0|7.0|28.0|2.0|9.0|0.0|0.0|0.0|62.0|0.0|
494.0|41797.0|AK_72|AC_138|630.0|1.0|375.0|2.0|4.0|7.0|0.0|0.0|0.0|7.0|19.0|1.0|14.0|4.0|1.0|1.0|58.0|1.0|
536.0|41797.0|AK_72|AC_138|645.0|1.0|428.0|1.0|7.0|4.0|0.0|0.0|0.0|12.0|22.0|1.0|17.0|0.0|2.0|3.0|39.0|0.0|
638.0|41797.0|AK_72|AC_138|700.0|1.0|525.0|1.0|6.0|8.0|0.0|0.0|0.0|18.0|19.0|3.0|13.0|0.0|4.0|3.0|38.0|0.0|
713.0|41797.0|AK_72|AC_138|715.0|1.0|587.0|1.0|9.0|7.0|0.0|0.0|0.0|17.0|19.0|4.0|15.0|4.0|0.0|1.0|49.0|0.0|
700.0|41797.0|AK_72|AC_138|730.0|1.0|588.0|1.0|5.0|5.0|0.0|0.0|0.0|9.0|23.0|5.0|16.0|0.0|0.0|1.0|47.0|0.0|
703.0|41797.0|AK_72|AC_138|745.0|1.0|582.0|1.0|6.0|9.0|0.0|0.0|0.0|12.0|24.0|4.0|14.0|5.0|2.0|0.0|44.0|0.0|
706.0|41797.0|AK_72|AC_138|800.0|1.0|599.0|1.0|8.0|6.0|0.0|0.0|0.0|8.0|24.0|5.0|18.0|3.0|2.0|1.0|31.0|0.0|
647.0|41797.0|AK_72|AC_138|815.0|1.0|551.0|2.0|8.0|5.0|0.0|0.0|0.0|5.0|18.0|6.0|20.0|1.0|0.0|2.0|29.0|0.0|
691.0|41797.0|AK_72|AC_138|830.0|1.0|589.0|0.0|6.0|5.0|0.0|0.0|0.0|9.0|15.0|6.0|17.0|3.0|1.0|3.0|37.0|0.0|
696.0|41797.0|AK_72|AC_138|845.0|1.0|592.0|2.0|10.0|8.0|0.0|0.0|0.0|6.0|14.0|3.0|20.0|1.0|3.0|2.0|35.0|0.0|
550.0|41797.0|AK_72|AC_138|900.0|1.0|471.0|1.0|3.0|3.0|0.0|0.0|0.0|2.0|19.0|2.0|17.0|0.0|1.0|3.0|28.0|0.0|
631.0|41797.0|AK_72|AC_138|915.0|1.0|527.0|1.0|8.0|6.0|0.0|0.0|0.0|5.0|15.0|6.0|18.0|1.0|1.0|2.0|41.0|0.0|
606.0|41797.0|AK_72|AC_138|930.0|1.0|501.0|1.0|9.0|7.0|0.0|0.0|0.0|4.0|13.0|3.0|19.0|5.0|2.0|1.0|41.0|0.0|
624.0|41797.0|AK_72|AC_138|945.0|1.0|515.0|3.0|2.0|7.0|0.0|0.0|0.0|1.0|19.0|7.0|20.0|3.0|0.0|0.0|47.0|0.0|
580.0|41797.0|AK_72|AC_138|1000.0|1.0|489.0|1.0|9.0|6.0|0.0|0.0|0.0|0.0|8.0|7.0|16.0|3.0|0.0|2.0|39.0|0.0|
619.0|41797.0|AK_72|AC_138|1015.0|1.0|529.0|0.0|8.0|5.0|0.0|0.0|0.0|2.0|8.0|3.0|21.0|6.0|1.0|2.0|34.0|0.0|
599.0|41797.0|AK_72|AC_138|1030.0|1.0|502.0|2.0|8.0|7.0|0.0|0.0|0.0|2.0|10.0|3.0|15.0|2.0|1.0|3.0|44.0|0.0|
594.0|41797.0|AK_72|AC_138|1045.0|1.0|490.0|0.0|6.0|5.0|0.0|0.0|0.0|2.0|8.0|6.0|23.0|1.0|2.0|3.0|48.0|0.0|
656.0|41797.0|AK_72|AC_138|1100.0|1.0|549.0|1.0|12.0|9.0|0.0|0.0|0.0|0.0|10.0|6.0|16.0|2.0|1.0|3.0|47.0|0.0|
655.0|41797.0|AK_72|AC_138|1115.0|1.0|558.0|1.0|6.0|6.0|0.0|0.0|0.0|1.0|7.0|6.0|19.0|2.0|1.0|3.0|45.0|0.0|1120-1300 LLUVIA FUERTE.
625.0|41797.0|AK_72|AC_138|1130.0|1.0|543.0|0.0|6.0|7.0|0.0|0.0|0.0|4.0|7.0|5.0|15.0|3.0|1.0|1.0|33.0|0.0|1120-1300 LLUVIA FUERTE.
596.0|41797.0|AK_72|AC_138|1145.0|1.0|489.0|0.0|6.0|6.0|0.0|0.0|0.0|4.0|6.0|7.0|22.0|1.0|6.0|3.0|46.0|0.0|1120-1300 LLUVIA FUERTE.
618.0|41797.0|AK_72|AC_138|1200.0|1.0|506.0|1.0|5.0|8.0|0.0|0.0|0.0|5.0|23.0|2.0|18.0|2.0|3.0|4.0|41.0|0.0|1120-1300 LLUVIA FUERTE.
552.0|41797.0|AK_72|AC_138|1215.0|1.0|442.0|1.0|7.0|2.0|0.0|0.0|0.0|9.0|22.0|2.0|16.0|2.0|1.0|3.0|45.0|0.0|1120-1300 LLUVIA FUERTE.
