Estacion,Tipo,IDEstacion,IDNodo,hora,>C5_DSEL,AL_DSEL,AT1_DSEL,AT3_DSEL,AT4_DSEL,AUT_GAS,AUT_GNV,BA1_DSEL,BA2_DSEL,BE_DSEL,BE_GAS,BE_GNV,BI_DSEL,BI_GAS,BI_GNV,BN1_DSEL,BN3_DSEL,BN4_DSEL,BT1_DSEL,BT3_DSEL,BT4_DSEL,BTE_DSEL,BTE_GAS,BTE_GNV,BTI_DSEL,BTI_GAS,BTI_GNV,C2G_DSEL,C2G_GAS,C2G_GNV,C2P_DSEL,C2P_GAS,C2P_GNV,C3-C4_DSEL,C5_DSEL,CCE_DSEL,CCE_GAS,CCE_GNV,CC_DSEL,CC_GAS,CC_GNV,M1_GAS,M2_GAS,M3_GAS,MBE_DSEL,MBE_GAS,MBE_GNV,MBI_DSEL,MBI_GAS,MBI_GNV,MB_DSEL,P1_DSEL,P3_DSEL,P4_DSEL,PHB_DSEL,TX_GAS,TX_GNV
L_AK_45_AC_170,NOHAB,1,3493,10,18.0531540263,4.66666666667,34.1499307479,6.16216528163,3.52123730379,2193.20272855,30.0537752693,0.468954248366,3.03104575163,6.36071805202,0.0887239333126,0.0,5.82743695556,0.848085223064,0.0817747020016,8.4219400688,1.3072605468,2.36295944233,2.59302009777,0.847139235923,0.301013941698,1.97100861027,0.164910789093,0.135787454895,2.17775708974,1.0965142278,0.0749601435015,90.7800896851,8.98293334016,1.90810713975,5.65053383004,21.9307531483,9.68503523772,14.493377176,4.32258617531,0.750029825147,8.03048035538,0.256231694547,116.744144009,879.075820606,11.7556203023,14.0014671453,704.012770237,362.3855633,7.600108422,5.40251602628,5.50744711124,7.56619953316,8.67788213094,4.42946302508,9.33333333333,5.6956681351,0.372613803231,15.4900881057,2.60829662261,31.6597869285,54.7146205641
L_AK_45_AC_170,NOHAB,1,3493,11,16.7818051512,6.33333333333,30.3843490305,5.48268698061,3.13296398892,2144.85722754,29.391289853,0.446623093682,2.88671023965,7.7267783048,0.107778737782,0.0,4.53245096543,0.659621840161,0.0636025460013,14.6275801195,2.27050516024,4.10408745247,4.50366648561,1.47134709397,0.522813688213,2.39431247288,0.200327871313,0.164949861315,1.6938110698,0.852844399399,0.0583023338344,96.8772598878,9.58626468391,2.03626358943,5.36260853934,20.8132625421,9.19153025746,15.2561865011,6.8652839255,0.911110056052,9.75514727733,0.311261320223,114.170713811,859.698058385,11.4964872336,14.0232085539,705.105957769,362.948273803,9.23234647237,6.56278792453,6.69025454454,5.88482185911,6.74946387963,3.4451379084,8.83333333333,6.20631424376,0.406020558003,16.8788546256,2.84214390602,30.9618996602,53.5085278899
L_AK_45_AC_170,NOHAB,1,3493,12,19.3245029014,6.0,34.0200831025,6.13873499538,3.50784856879,1896.69465578,25.9906821186,0.602941176471,3.89705882353,6.74492249812,0.0940830970698,0.0,5.54993995769,0.807700212441,0.0778806685729,11.879368097,1.84392540286,3.33301647655,3.65752308528,1.19491218541,0.424588086185,2.09006282164,0.174871843467,0.143989381701,2.07405437119,1.04429926457,0.0713906128584,74.5209691444,7.37404975685,1.56635660726,3.88699142449,15.0861231849,6.6623172336,13.476298076,5.33966527539,0.795333640088,8.51554292718,0.271708776769,100.961024329,760.2299547,10.1663297754,17.9584035125,902.972900962,464.798874668,8.05917537366,5.72884249766,5.84011170186,7.20590431729,8.26464964852,4.21853621436,9.0,6.12775330396,0.400881057269,16.6651982379,2.80616740088,27.3795704742,47.3175265862
L_AK_45_AC_170,NOHAB,1,3493,13,20.3415820014,4.66666666667,36.0976454294,6.51361957525,3.72206832872,2119.28196249,29.0408282846,0.535947712418,3.46405228758,8.87939164309,0.123856229054,0.0,6.24368245239,0.908662738996,0.0876157521446,9.1311560746,1.41734564548,2.56194550063,2.81137968495,0.918477276842,0.326362484157,2.75147510696,0.230211034436,0.189555641733,2.33331116759,1.17483667264,0.0803144394659,83.102171652,8.22318275916,1.74672494384,3.5270848111,13.689259927,6.04543600826,16.7818051512,9.66225145069,1.04702150088,11.2103349927,0.357692566885,112.809342887,849.447023763,11.3594031871,18.8932840828,949.979964811,488.995426255,10.6095473274,7.5417673387,7.68824831637,8.10664235695,9.29773085459,4.74585324116,9.16666666667,5.97063142438,0.3906020558,16.2378854626,2.7342143906,30.5927101498,52.8704925161
L_AK_45_AC_170,NOHAB,1,3493,14,17.0360749263,5.5,37.7856648199,6.8182132964,3.89612188366,2045.52619815,28.0301423423,0.580610021786,3.75272331155,6.23264990331,0.0869375453936,0.0,6.89117544746,1.00289443045,0.0967018301447,8.4219400688,1.3072605468,2.36295944233,2.59302009777,0.847139235923,0.301013941698,1.93132387315,0.161590437634,0.133053479292,2.57528417755,1.29667158684,0.0886433442993,54.4228895873,5.38529088304,1.14391497681,3.67104745646,14.2480052302,6.2921884984,16.2732656012,7.37382347553,0.7349285535,7.86879283144,0.251072667141,108.883324803,819.884362628,10.964070485,17.3496440714,872.36365008,449.042980611,7.44708610478,5.29374053581,5.39655891438,8.94733119396,10.2619399802,5.23801579951,8.0,5.34214390602,0.349486049927,14.5286343612,2.44640234949,29.5280152387,51.0304808255
L_AK_45_AC_170,NOHAB,1,3493,15,23.1385495267,5.66666666667,39.8632271468,7.19309787627,4.11034164358,2478.65568676,33.9653785808,0.558278867102,3.60838779956,7.8548464535,0.109565125702,0.0,7.21492194498,1.05001027617,0.101244869145,10.283632084,1.59623393083,2.88529784537,3.16621401412,1.03440159334,0.367553865653,2.43399720999,0.203648222771,0.167683836918,2.69627068254,1.35758904394,0.0928077967161,61.8749865017,6.12269585872,1.30055063755,5.97444978208,23.1879300805,10.2402283405,13.984837626,17.7988842513,0.926211327699,9.91683480127,0.316420347629,131.938800128,993.490594127,13.2856551445,17.7083773135,890.401244348,458.327703895,9.38536878958,6.671563415,6.80114274141,9.36767561248,10.7440445431,5.48409707867,8.83333333333,6.00991189427,0.393171806167,16.3447136564,2.75220264317,35.7804182396,61.8359186062
L_AK_45_AC_170,NOHAB,1,3493,16,14.493377176,5.16666666667,31.4231301939,5.67012927054,3.24007386888,2546.47138954,34.8946669975,0.558278867102,3.60838779956,5.97651360593,0.0833647695555,0.0,7.07617344604,1.02981777086,0.0992978524304,8.15598406663,1.2659786348,2.28833967047,2.51113525258,0.820387470578,0.291508238276,1.85195439891,0.154949734718,0.127585528089,2.64441932326,1.33148156233,0.0910230313946,44.2609392495,4.37973864346,0.930320894007,4.31887936054,16.7623590943,7.40257470399,10.1707910007,8.89944212564,0.704726010205,7.54541778358,0.240754612327,135.548628836,1020.6723698,13.6491489712,17.2083249154,865.257931126,445.385362348,7.14104147033,5.0761895549,5.17478252064,9.18752800454,10.5374283019,5.37863367331,7.83333333333,5.22430249633,0.341776798825,14.2081497797,2.39243759178,36.7593659095,63.5277414358
L_AK_45_AC_170,NOHAB,1,3493,17,11.4421398758,5.16666666667,35.7081024931,6.44332871653,3.68190212373,2487.89578251,34.0919969539,0.558278867102,3.60838779956,4.90927903344,0.0684782035635,0.0,6.56742894992,0.955778584723,0.0921587911446,6.64890005432,1.03204780011,1.86549429658,2.04712112982,0.668794133623,0.237642585551,1.52124825625,0.127280139232,0.104802398073,2.45429767257,1.23575412974,0.0844788918826,39.5186957585,3.91048093167,0.830643655363,4.39086068321,17.0417317458,7.52595094906,7.62809325055,8.39090257561,0.578882079812,6.19802175079,0.197762717268,132.430650269,997.194193733,13.3351822839,17.0235229422,855.965837108,440.602323081,5.86585549349,4.16972713437,4.25071421338,8.52698677546,9.77983541741,4.99193452033,8.16666666667,4.71365638767,0.308370044053,12.8193832599,2.15859030837,35.913802837,62.0664346121
L_AK_45_AC_170,NOHAB,1,3493,18,10.6793305508,6.33333333333,37.0065789474,6.67763157895,3.81578947368,2501.59092443,34.2796634712,0.37962962963,2.4537037037,5.08003656504,0.0708600541222,0.0,6.38243095134,0.928855244307,0.0895627688589,8.33328806808,1.29349990947,2.33808618504,2.56572514938,0.838221980808,0.297845373891,1.57416123908,0.13170727451,0.108447698876,2.38516252686,1.20094415426,0.0820992047873,30.2600298951,2.99431111339,0.63603571325,3.02321555237,11.733651366,5.18180229279,2.54269775019,5.59393505041,0.599017108674,6.41360511604,0.204641420478,133.159642441,1002.68345743,13.4085885798,13.4144491128,674.496706893,347.192379746,6.06988524978,4.31476112166,4.39856514254,8.28678996488,9.5043470958,4.85131664652,8.66666666667,5.10646108664,0.334067547724,13.8876651982,2.33847283407,36.1114978651,62.4080922638
L_AK_45_AC_170,NOHAB,1,3493,19,9.40798167568,5.5,34.5394736842,6.23245614035,3.56140350877,2428.33016521,33.275760656,0.513616557734,3.3197167756,5.42155162823,0.0756237552397,0.0,6.01243495416,0.875008563478,0.0843707242873,8.4219400688,1.3072605468,2.36295944233,2.59302009777,0.847139235923,0.301013941698,1.67998720472,0.140561545065,0.115738300481,2.24689223545,1.13132420329,0.0773398305968,33.1957044371,3.2848039826,0.697740670505,3.59906613377,13.9686325786,6.16881225332,4.83112572535,6.8652839255,0.6392871664,6.84477184652,0.218398826896,129.259973471,973.319203419,13.0159091174,12.2078009349,613.824798898,315.961946884,6.47794476237,4.60482909623,4.69426700087,7.80639634372,8.95337045256,4.5700808989,8.83333333333,4.2422907489,0.277533039648,11.5374449339,1.94273127753,35.0539485576,60.580429645
