Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_72_AC_17,NOHAB,18,27020,8,13.5,0.16666666666666666,0.0,37.388888888888886,0.0,54.111111111111114,49.72222222222223,116.3888888888889,36.72222222222222,18.777777777777775,10.888888888888888,19.11111111111111,111.27777777777777,1680.222222222222,568.2777777777777,2716.5555555555547
L_AK_72_AC_17,NOHAB,18,27020,9,15.055555555555555,0.1111111111111111,0.0,32.27777777777778,0.0,54.94444444444445,47.77777777777778,121.88888888888887,37.888888888888886,22.777777777777775,11.055555555555555,18.333333333333332,111.05555555555556,1638.4444444444446,442.0,2553.611111111111
L_AK_72_AC_17,NOHAB,18,27020,10,15.611111111111112,0.3333333333333333,0.0,31.0,0.0,52.55555555555555,44.94444444444445,115.0,33.166666666666664,21.833333333333332,10.555555555555555,15.222222222222223,104.22222222222223,1600.888888888889,400.27777777777777,2445.6111111111118
L_AK_72_AC_17,NOHAB,18,27020,11,14.888888888888891,0.38888888888888884,0.0,27.0,0.0,49.333333333333336,39.666666666666664,110.8888888888889,30.944444444444443,23.666666666666668,11.666666666666666,16.166666666666668,101.94444444444444,1549.1666666666667,410.1111111111111,2385.8333333333326
L_AK_72_AC_17,NOHAB,18,27020,12,15.777777777777779,0.27777777777777773,0.0,28.88888888888889,0.0,46.55555555555555,38.55555555555556,103.94444444444446,28.555555555555557,23.277777777777782,15.166666666666666,15.944444444444445,96.22222222222221,1605.7222222222224,503.3888888888889,2522.277777777778
L_AK_72_AC_17,NOHAB,18,27020,13,14.888888888888891,0.16666666666666666,0.0,28.277777777777782,0.0,46.666666666666664,36.55555555555555,101.11111111111113,26.0,17.666666666666668,11.055555555555557,18.333333333333332,98.83333333333333,1561.2777777777776,571.1666666666666,2531.9999999999995
L_AK_72_AC_17,NOHAB,18,27020,14,17.0,0.2222222222222222,0.0,25.444444444444443,0.0,48.55555555555555,39.888888888888886,85.33333333333333,31.666666666666668,18.61111111111111,11.555555555555557,17.444444444444443,97.0,1496.8888888888887,535.5,2425.1111111111113
L_AK_72_AC_17,NOHAB,18,27020,15,19.77777777777778,0.27777777777777773,0.0,27.0,0.0,48.833333333333336,45.611111111111114,70.94444444444446,26.444444444444443,15.222222222222223,14.666666666666666,14.611111111111112,103.05555555555556,1459.111111111111,456.2777777777778,2301.833333333333
L_AK_72_AC_17,NOHAB,18,27020,16,15.611111111111112,0.2222222222222222,0.0,27.833333333333332,0.0,49.88888888888889,41.888888888888886,63.27777777777777,26.333333333333332,14.166666666666666,12.611111111111109,13.611111111111109,101.83333333333333,1458.5555555555554,445.3333333333333,2271.1666666666665
L_AK_72_AC_17,NOHAB,18,27020,17,13.111111111111112,0.0,0.0,27.11111111111111,0.0,48.55555555555555,40.333333333333336,55.611111111111114,22.611111111111114,9.055555555555555,9.777777777777779,15.222222222222221,109.83333333333333,1438.5555555555557,469.1111111111111,2258.8888888888896
L_AK_72_AC_17,NOHAB,18,27020,18,11.611111111111109,0.1111111111111111,0.0,21.055555555555557,0.0,44.333333333333336,44.388888888888886,39.666666666666664,18.88888888888889,6.944444444444444,8.444444444444445,14.222222222222223,98.77777777777777,1471.611111111111,410.7777777777778,2190.833333333333
L_AK_72_AC_17,NOHAB,18,27020,19,9.166666666666666,0.27777777777777773,0.0,18.0,0.0,43.0,36.44444444444445,32.666666666666664,14.555555555555555,5.555555555555556,7.111111111111112,11.833333333333334,85.94444444444444,1397.6666666666667,303.72222222222223,1965.9444444444448
L_AK_72_AC_17,NOHAB,18,27020,20,7.722222222222222,0.38888888888888884,0.0,17.11111111111111,0.0,46.611111111111114,32.55555555555555,25.277777777777782,11.111111111111112,3.3888888888888893,5.444444444444444,14.222222222222223,78.8888888888889,1349.2222222222224,256.77777777777777,1848.7222222222224
L_AK_72_AC_17,NOHAB,18,27020,21,7.222222222222222,0.3333333333333333,0.0,14.055555555555555,0.0,45.5,27.555555555555557,21.777777777777775,8.666666666666666,3.2222222222222228,6.388888888888889,15.888888888888891,75.72222222222223,1263.0555555555557,253.77777777777774,1743.1666666666667
L_AK_72_AC_17,NOHAB,18,27020,22,8.111111111111112,0.7222222222222222,0.0,18.222222222222225,0.0,46.388888888888886,29.222222222222218,28.833333333333332,7.166666666666667,6.9444444444444455,7.055555555555556,19.88888888888889,58.166666666666664,1186.5,285.3333333333333,1702.5555555555554
L_AK_72_AC_17,NOHAB,18,27020,23,6.444444444444444,0.4444444444444444,0.0,9.777777777777779,0.0,36.22222222222222,11.444444444444443,20.444444444444443,6.388888888888888,5.611111111111111,6.0,12.944444444444445,27.88888888888889,824.0,111.61111111111113,1079.2222222222222
L_AC_26_TV_93,NOHAB,11,20173,0,2.1666666666666665,1.5,0.0,0.5,0.16666666666666666,1.6666666666666667,0.5,10.833333333333334,2.8333333333333335,0.16666666666666666,0.3333333333333333,10.5,0.3333333333333333,449.6666666666667,17.333333333333332,498.5
L_AC_26_TV_93,NOHAB,11,20173,1,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,8.833333333333334,4.0,0.3333333333333333,0.16666666666666666,10.5,0.16666666666666666,235.16666666666666,11.333333333333334,271.66666666666663
L_AC_26_TV_93,NOHAB,11,20173,2,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.833333333333333,1.8333333333333333,0.5,0.0,6.0,0.16666666666666666,141.66666666666666,7.0,164.83333333333334
L_AC_26_TV_93,NOHAB,11,20173,3,0.8333333333333334,0.3333333333333333,0.0,0.6666666666666666,0.0,5.0,1.6666666666666667,7.5,2.3333333333333335,0.6666666666666666,0.16666666666666666,12.166666666666666,0.0,187.0,17.833333333333332,236.16666666666666
